,Name,Size,Location
0,.ses,53,C:\Users\samru\AppData\Local\Temp\.ses
1,079b0a31-2900-4a4b-a414-d320f315c4fd.tmp,0,C:\Users\samru\AppData\Local\Temp\079b0a31-2900-4a4b-a414-d320f315c4fd.tmp
2,0c2da44d-9db0-40c2-8647-2da871874749.tmp,1230,C:\Users\samru\AppData\Local\Temp\0c2da44d-9db0-40c2-8647-2da871874749.tmp
3,31a0735c-78ce-4591-85d8-079d8524558f.tmp,0,C:\Users\samru\AppData\Local\Temp\31a0735c-78ce-4591-85d8-079d8524558f.tmp
4,36ace52c-373b-4ac4-9eb7-ae40f5ae4c5c.tmp,1546108,C:\Users\samru\AppData\Local\Temp\36ace52c-373b-4ac4-9eb7-ae40f5ae4c5c.tmp
5,48146a3c-3fc1-499d-ad27-6b42d56fd73a.tmp,0,C:\Users\samru\AppData\Local\Temp\48146a3c-3fc1-499d-ad27-6b42d56fd73a.tmp
6,4f016eec-06a5-4f49-b94b-aeddc7589fc6.tmp,2615417,C:\Users\samru\AppData\Local\Temp\4f016eec-06a5-4f49-b94b-aeddc7589fc6.tmp
7,54195279-2799-4bb4-8d8c-c001605d6471.tmp,4038222,C:\Users\samru\AppData\Local\Temp\54195279-2799-4bb4-8d8c-c001605d6471.tmp
8,5d7a517f-e38e-4255-be57-59c99df8b801.tmp,11035279,C:\Users\samru\AppData\Local\Temp\5d7a517f-e38e-4255-be57-59c99df8b801.tmp
9,7c7996aa-a658-4323-93e7-0441a3e7a2cc.tmp,3243182,C:\Users\samru\AppData\Local\Temp\7c7996aa-a658-4323-93e7-0441a3e7a2cc.tmp
10,7fa63d90-62b0-4fd7-a743-9b1b8f8ba124.tmp,69773,C:\Users\samru\AppData\Local\Temp\7fa63d90-62b0-4fd7-a743-9b1b8f8ba124.tmp
11,a8a571bb-9888-45ab-8f7b-a46a9f0e8e03.tmp,5396,C:\Users\samru\AppData\Local\Temp\a8a571bb-9888-45ab-8f7b-a46a9f0e8e03.tmp
